latency_archetype,scope_label,provider_key,provider_label,fresh_ok_count,fresh_total_count,fresh_success_rate,fresh_median_spoken_ms,warm_ok_count,warm_total_count,warm_success_rate,warm_median_spoken_ms,delta_spoken_ms,delta_spoken_pct,delta_assistant_ms,delta_done_ms
,All Turns,cursor:cli,Cursor Agent CLI,15,15,1.0,4914.4,6,6,1.0,4694.7,-219.69999999999982,-4.470535568940254,-225.14999999999964,534.3999999999996
,All Turns,cursor:app:submit=auto,Cursor App (auto),15,15,1.0,4101.1,6,6,1.0,4183.549999999999,82.44999999999891,2.0104362244275658,56.5,16.600000000000364
,All Turns,codex,Codex CLI,15,15,1.0,6385.8,6,6,1.0,9438.35,3052.55,47.80215478092017,3052.55,3923.9500000000007
,All Turns,gemini:cli,Gemini CLI,2,15,0.133333,29008.45,0,6,0.0,,,,,382.15000000000055
planning-question,Planning Question,cursor:cli,Cursor Agent CLI,6,6,1.0,4517.15,3,3,1.0,4512.2,-4.949999999999818,-0.10958236941433909,195.60000000000036,-539.1499999999996
planning-question,Planning Question,cursor:app:submit=auto,Cursor App (auto),6,6,1.0,4121.65,3,3,1.0,4342.9,221.25,5.36799582691398,221.29999999999927,202.55000000000018
planning-question,Planning Question,codex,Codex CLI,6,6,1.0,6060.1,3,3,1.0,9193.7,3133.6000000000004,51.70871767792611,3133.6000000000004,3246.5
planning-question,Planning Question,gemini:cli,Gemini CLI,0,6,0.0,,0,3,0.0,,,,,-161.60000000000036
repo-lookup,Repo Lookup,cursor:app:submit=auto,Cursor App (auto),3,3,1.0,4006.6,3,3,1.0,4024.2,17.59999999999991,0.4392751959267187,65.69999999999982,17.600000000000364
repo-lookup,Repo Lookup,cursor:cli,Cursor Agent CLI,3,3,1.0,4867.3,3,3,1.0,5805.9,938.5999999999995,19.283791835309092,940.0999999999995,1799.5999999999995
repo-lookup,Repo Lookup,codex,Codex CLI,3,3,1.0,8455.8,3,3,1.0,9683.0,1227.2000000000007,14.513115258166001,1227.199999999999,635.7000000000007
repo-lookup,Repo Lookup,gemini:cli,Gemini CLI,0,3,0.0,,0,3,0.0,,,,,994.6999999999998
