latency_archetype,provider_key,provider_label,session_state,ok_count,total_count,success_rate,median_spoken_ms,p90_spoken_ms,q1_spoken_ms,q3_spoken_ms,ci_low_ms,ci_high_ms,median_assistant_ms,median_done_ms
trivial-conversation,cursor:app:submit=auto,Cursor App (auto),fresh,1,1,1.0,4954.2,4954.2,4954.2,4954.2,4954.2,4954.2,4954.2,5028.1
trivial-conversation,codex,Codex CLI,fresh,1,1,1.0,7550.7,7550.7,7550.7,7550.7,7550.7,7550.7,7550.7,7816.1
trivial-conversation,cursor:cli,Cursor Agent CLI,fresh,1,1,1.0,8115.3,8115.3,8115.3,8115.3,8115.3,8115.3,8115.2,8480.7
trivial-conversation,gemini:cli,Gemini CLI,fresh,1,1,1.0,10071.2,10071.2,10071.2,10071.2,10071.2,10071.2,10071.2,10200.0
planning-question,cursor:app:submit=auto,Cursor App (auto),fresh,2,2,1.0,3498.6000000000004,3942.36,3221.25,3775.9500000000003,2943.9,4053.3,3498.6000000000004,3574.5
planning-question,cursor:cli,Cursor Agent CLI,fresh,2,2,1.0,4233.1,4278.46,4204.75,4261.45,4176.4,4289.8,4190.950000000001,5956.799999999999
planning-question,codex,Codex CLI,fresh,2,2,1.0,6537.1,7227.02,6105.9,6968.3,5674.7,7399.5,6537.05,6810.7
planning-question,gemini:cli,Gemini CLI,fresh,2,2,1.0,13357.400000000001,16945.24,11115.0,15599.800000000001,8872.6,17842.2,13346.349999999999,13429.55
repo-lookup,cursor:app:submit=auto,Cursor App (auto),fresh,1,1,1.0,2966.9,2966.9,2966.9,2966.9,2966.9,2966.9,2892.8,2966.9
repo-lookup,cursor:cli,Cursor Agent CLI,fresh,1,1,1.0,4518.3,4518.3,4518.3,4518.3,4518.3,4518.3,4514.8,7244.8
repo-lookup,gemini:cli,Gemini CLI,fresh,1,1,1.0,10126.1,10126.1,10126.1,10126.1,10126.1,10126.1,10106.2,10182.2
repo-lookup,codex,Codex CLI,fresh,1,1,1.0,12066.5,12066.5,12066.5,12066.5,12066.5,12066.5,12066.4,18946.9
light-investigation,cursor:app:submit=auto,Cursor App (auto),fresh,1,1,1.0,4026.6,4026.6,4026.6,4026.6,4026.6,4026.6,4026.6,4100.6
light-investigation,cursor:cli,Cursor Agent CLI,fresh,1,1,1.0,6285.8,6285.8,6285.8,6285.8,6285.8,6285.8,6282.3,7052.8
light-investigation,codex,Codex CLI,fresh,1,1,1.0,11550.1,11550.1,11550.1,11550.1,11550.1,11550.1,11550.0,11821.3
light-investigation,gemini:cli,Gemini CLI,fresh,1,1,1.0,17033.8,17033.8,17033.8,17033.8,17033.8,17033.8,17020.5,17116.1
